position_id,direction,entry_time,exit_time,holding_period,entry_price,exit_price,size,pnl_pct,pnl_abs,cumulative_pnl,exit_reason
1,long,2025-01-20 14:00:00,2025-01-20 15:00:00,1.0,107735.46870793,104861.87263048,1500.0,-0.026672702239225465,-40.00905335883817,-40.00905335883817,stop_loss
2,long,2025-01-20 15:00:00,2025-01-20 17:00:00,2.0,104861.87263048,102850.59535324,1493.7322428109767,-0.019180253287364835,-28.65016276061806,-68.65921611945623,stop_loss
3,long,2025-01-20 16:00:00,2025-01-20 17:00:00,1.0,106528.41795091,102850.59535324,1269.537970487477,-0.03452433320998727,-43.82995191584064,-112.48916803529687,stop_loss
5,long,2025-01-20 18:00:00,2025-01-20 23:00:00,5.0,103872.2033695,102198.02755249,1259.880542911803,-0.016117649984322746,-20.306313612710937,-132.7954816480078,stop_loss
4,long,2025-01-20 17:00:00,2025-01-21 00:00:00,7.0,102850.59535324,101066.94272672,1482.3693601814346,-0.017342171140517615,-25.707503137726007,-158.50298478573382,stop_loss
6,long,2025-01-20 19:00:00,2025-01-21 00:00:00,5.0,103595.66311413,101066.94272672,1070.7850722261705,-0.02440951977520678,-26.137349395500905,-184.64033418123472,stop_loss
8,long,2025-01-21 00:00:00,2025-01-21 12:00:00,12.0,101066.94272672,104404.72333978,1306.3838749552335,0.033025443562542556,43.143906933349626,-141.4964272478851,take_profit
9,long,2025-01-21 01:00:00,2025-01-21 16:00:00,15.0,101382.32119994,104918.58929372,1110.3087191632026,0.034880520113620195,38.72814561109999,-102.7682816367851,take_profit
7,long,2025-01-20 23:00:00,2025-01-21 17:00:00,18.0,102198.02755249,106183.03802013,1095.8955134499718,0.03899302719510178,42.7322835589448,-60.035998077840304,take_profit
12,long,2025-01-21 17:00:00,2025-01-22 13:00:00,20.0,106183.03802013,104035.01838757,1144.878629790281,-0.020229404550967667,-23.16021296378517,-83.19621104162547,stop_loss
11,long,2025-01-21 16:00:00,2025-01-23 00:00:00,32.0,104918.58929372,103266.65556581,1146.2236433747978,-0.015744909829900622,-18.04718790983634,-101.24339895146181,stop_loss
10,long,2025-01-21 12:00:00,2025-01-23 02:00:00,38.0,104404.72333978,102594.53418909,1145.970193286915,-0.017338192112236417,-19.869051366105168,-121.11245031756698,stop_loss
13,long,2025-01-22 13:00:00,2025-01-23 03:00:00,14.0,104035.01838757,102389.57100232,1141.2006041115178,-0.015816283889335092,-18.049552729308516,-139.1620030468755,stop_loss
14,long,2025-01-23 00:00:00,2025-01-23 09:00:00,9.0,103266.65556581,101612.367062,1139.0427378791724,-0.01601958051944219,-18.24698685454132,-157.40898990141682,stop_loss
17,long,2025-01-23 09:00:00,2025-01-23 14:00:00,5.0,101612.367062,105202.53951278,1132.3537811357976,0.03533204229549547,40.008371688554234,-117.40061821286258,take_profit
15,long,2025-01-23 02:00:00,2025-01-23 17:00:00,15.0,102594.53418909,105954.72069551,1136.897635536236,0.03275210061607092,37.23578574925591,-80.16483246360667,take_profit
16,long,2025-01-23 03:00:00,2025-01-23 17:00:00,14.0,102389.57100232,105954.72069551,1134.6322435313093,0.03481946118427648,39.50728336206703,-40.657549101539644,take_profit
19,long,2025-01-23 17:00:00,2025-01-23 19:00:00,2.0,105954.72069551,103810.09336206,1319.3526349631438,-0.020240979537034187,-26.704989686421186,-67.36253878796083,stop_loss
20,long,2025-01-23 18:00:00,2025-01-23 19:00:00,1.0,105481.68938464,103810.09336206,1121.3309979815256,-0.015847262518563943,-17.77002669521653,-85.13256548317736,stop_loss
18,long,2025-01-23 14:00:00,2025-01-23 20:00:00,6.0,105202.53951278,103327.00631458,1138.1476124550243,-0.017827831979019493,-20.290704402170377,-105.42326988534774,stop_loss
22,long,2025-01-23 20:00:00,2025-01-24 17:00:00,21.0,103327.00631458,106508.24239081,1282.8689798135313,0.030788040703944475,39.497022368326725,-65.92624751702101,take_profit
23,long,2025-01-23 21:00:00,2025-01-24 17:00:00,20.0,103111.18600834,106508.24239081,1090.3231746333183,0.03294556598539411,35.921314095286334,-30.004933421734677,take_profit
24,long,2025-01-24 17:00:00,2025-01-24 20:00:00,3.0,106508.24239081,104857.63940973,1293.7477680449913,-0.015497420143536389,-20.049752721155755,-50.05468614289043,stop_loss
25,long,2025-01-24 18:00:00,2025-01-25 00:00:00,6.0,106361.7531223,104412.69731791,1099.5691655391186,-0.018324780733435908,-20.149363859751475,-70.2040500026419,stop_loss
26,long,2025-01-24 20:00:00,2025-01-26 23:00:00,51.0,104857.63940973,102589.28508691,1125.4748989605484,-0.021632704451379547,-24.34706585665981,-94.55111585930172,stop_loss
27,long,2025-01-25 00:00:00,2025-01-26 23:00:00,47.0,104412.69731791,102589.28508691,1118.3681938453135,-0.017463510452643494,-19.53063464312163,-114.08175050242335,stop_loss
21,long,2025-01-23 19:00:00,2025-01-27 00:00:00,77.0,103810.09336206,101685.61275688,1312.2460622034423,-0.02046506785973512,-26.855204711663646,-140.936955214087,stop_loss
28,long,2025-01-26 23:00:00,2025-01-27 02:00:00,3.0,102589.28508691,100930.28632736,1280.309123591675,-0.016171267380843513,-20.70422116773443,-161.64117638182142,stop_loss
29,long,2025-01-27 00:00:00,2025-01-27 06:00:00,6.0,101685.61275688,98896.28331489,1280.8404706783929,-0.027430915410413315,-35.134626605412905,-196.77580298723433,stop_loss
30,long,2025-01-27 01:00:00,2025-01-27 06:00:00,5.0,101233.20093625,98896.28331489,1088.5991244342729,-0.02308449796852341,-25.12976427653939,-221.90556726377372,stop_loss
31,long,2025-01-27 02:00:00,2025-01-27 06:00:00,4.0,100930.28632736,98896.28331489,1114.0386527703058,-0.02015255367326385,-22.450723744044126,-244.35629100781784,stop_loss
32,long,2025-01-27 06:00:00,2025-01-27 14:00:00,8.0,98896.28331489,101923.91365355,1456.6409926825638,0.03061419739121951,44.593894878125866,-199.76239612969198,take_profit
35,long,2025-01-27 14:00:00,2025-01-27 16:00:00,2.0,101923.91365355,99696.59930953,1119.325647469613,-0.02185271605239647,-24.460305544318317,-224.2227016740103,stop_loss
