datetime,close,high,low,open,volume,netflow_total,whale_ratio,outflow_total,outflow_mean,outflow_mean_ma7,outflow_top10,SMA_10,SMA_20,SMA_50,returns,returns_lag1,BBM_20_2.0_MA,BBM_20_2.0_Upper,BBM_20_2.0_Lower,RSI_14,MA_Crossover_10_50,miner_outflow_lag1,whale_ratio_lag1,target
2024-02-22 23:00:00,51257.48651911,51466.45832412,51196.44316323,51439.90046325,1249.182762708879,243.42478274,0.88007351,18.86796047,0.0373623,0.01308495,16.88805569,51565.325063738,51591.8762350055,51538.6175378724,-0.0035131360131651634,-0.004159378709950534,51591.8762350055,52037.50015528698,51146.25231472401,44.86469852738458,0,8.21059442,0.64903212,1
2024-02-23 00:00:00,51428.7621404,51468.09130159,51241.11373831,51286.26401019,779.634719106002,241.85209624000004,0.92680309,20.38691877,0.02321973,0.01532427,17.37233345,51574.249859879004,51592.230056676,51523.31145182099,0.003341475224817092,-0.0035131360131651634,51592.230056676,52037.29589693614,51147.16421641586,48.18478633180611,0,18.86796047,0.88007351,0
2024-02-23 01:00:00,51284.07016383,51544.91495504,51279.06138065,51432.94130793,587.4066302863217,-195.6453305,0.8274821,7.14526205,0.01016396,0.01577376,4.36079664,51545.08776187101,51581.019210661,51503.903163891606,-0.0028134446669160207,0.003341475224817092,51581.019210661,52045.8450514687,51116.193369853296,45.68213804979444,0,20.38691877,0.92680309,0
2024-02-23 02:00:00,51087.37517489,51414.31367415,51020.78680468,51303.49317693,946.1214458867032,-41.57423485000004,0.91441186,18.39444894,0.02919754,0.01888356,16.50282432,51506.213519987,51548.41823338,51482.291127098,-0.0038354012915052804,-0.0028134446669160207,51548.41823338,52055.970606281684,51040.86586047831,42.454069575161384,0,7.14526205,0.8274821,0
2024-02-23 03:00:00,51079.44719604,51145.06342261,50957.93036433,51085.41525014,1467.1811383132788,-416.33204923999995,0.90110062,19.98423922,0.02834644,0.02143496,17.69763908,51444.858390954,51512.388030974,51461.84609367901,-0.00015518469725384065,-0.0038354012915052804,51512.388030974,52046.34956229534,50978.426499652654,42.324250216208476,-1,18.39444894,0.91441186,1
2024-02-23 04:00:00,51203.77511422,51316.45047438,50981.409488,51090.26449219,894.5715483418504,196.2293498,0.96044085,22.62411033,0.02992607,0.02444944,19.26132031,51394.904619616005,51479.2163103025,51444.42136459281,0.0024340106442977127,-0.00015518469725384065,51479.2163103025,52002.69299399585,50955.73962660915,45.15652856021706,0,19.98423922,0.90110062,1
2024-02-23 05:00:00,51220.18208818,51234.48468699,51100.19920313,51211.7737931,650.2049164790429,-190.97087062,0.56408422,4.46451771,0.01168722,0.02427189,3.29520348,51366.518223723004,51443.900119978505,51429.722278768604,0.000320425084349818,0.0024340106442977127,51443.900119978505,51934.596364799385,50953.203875157626,45.5366232110992,0,22.62411033,0.96044085,1
2024-02-23 06:00:00,51279.71252059,51302.81214109,50804.6753864,51224.95023638,697.8422418811018,-362.35495676999994,0.82065115,20.76726318,0.02945711,0.02314258,19.05373815,51293.204726917,51423.8475523275,51415.8654545808,0.001162245622389868,0.000320425084349818,51423.8475523275,51906.50016639335,50941.194938261644,46.972648181964765,0,4.46451771,0.56408422,0
2024-02-23 07:00:00,50911.3303576,51292.43542737,50872.81026028,51292.17585857,1734.3240194498828,-25.43789376999996,0.9242038,18.79317425,0.02355034,0.02318981,16.30803621,51219.033717243,51389.056647925,51397.30490561301,-0.007183779800678192,0.001162245622389868,51389.056647925,51914.49297982299,50863.620316027,39.95250896541729,0,20.76726318,0.82065115,1
2024-02-23 08:00:00,50950.13208234,51168.04323372,50644.76445849,50915.63276259,1525.240985802968,18.273294820000046,0.95898477,6.68046496,0.01138069,0.02336363,3.3443993,51170.22733572,51361.335048393004,51381.4386602584,0.000762143209919186,-0.007183779800678192,51361.335048393004,51918.64794871145,50804.02214807456,40.953504015902425,0,18.79317425,0.9242038,1
